date,main_1,main_2,main_3,main_4,main_5,main_6,noroc
2011-07-07,7,14,17,20,24,33,
2011-07-14,12,13,16,31,32,40,
2011-07-21,2,10,19,20,35,42,
2011-07-28,2,15,27,30,35,36,
2011-08-04,3,9,11,16,17,32,
2011-08-11,6,19,36,37,42,45,
2011-08-18,1,3,8,10,11,36,
2011-08-25,3,5,18,33,38,41,
2011-09-01,12,21,25,27,35,40,
2011-09-08,6,9,10,11,26,30,
2011-09-15,1,2,18,31,33,36,
2011-09-22,26,31,32,36,38,45,
2011-09-29,14,16,23,24,28,42,
2011-10-06,3,6,14,24,35,49,
2011-10-13,2,5,24,42,43,46,
2011-10-20,7,17,25,31,39,43,
2011-10-27,2,15,19,20,21,49,
2011-11-03,27,30,37,40,43,45,
2011-11-10,6,11,13,19,24,48,
2011-11-17,19,22,32,34,45,48,
2011-11-24,5,25,26,36,38,48,
2011-12-01,2,3,14,25,36,46,
2011-12-08,3,9,22,33,41,47,
2011-12-15,7,8,15,33,40,49,
2011-12-22,5,19,22,23,42,45,
2011-12-30,15,20,28,37,38,48,
2012-01-08,19,22,32,42,47,49,
2012-01-15,4,13,14,32,39,45,
2012-01-22,13,18,19,24,31,48,
2012-01-29,9,12,20,24,42,44,
2012-02-05,14,16,17,19,33,49,
2012-02-12,9,27,28,34,40,47,
2012-02-19,3,12,15,16,28,34,
2012-02-26,1,10,14,16,18,19,
2012-03-04,5,22,24,38,44,49,
2012-03-11,15,25,35,36,37,43,
2012-03-18,2,3,17,33,39,40,
2012-03-25,12,19,24,32,36,43,
2012-04-01,7,14,20,27,37,43,
2012-04-08,4,13,16,27,29,40,
2012-04-15,5,18,32,37,39,46,
2012-04-22,8,18,20,35,43,46,
2012-04-29,1,15,21,27,32,34,
2012-05-06,7,17,37,41,47,48,
2012-05-13,3,17,21,26,29,34,
2012-05-20,4,14,28,42,43,49,
2012-05-27,5,6,26,29,33,39,
2012-06-03,3,15,18,23,38,46,
2012-06-10,6,20,25,28,30,32,
2012-06-17,2,4,8,12,39,43,
2012-06-24,5,8,20,28,30,49,
2012-07-01,5,10,30,33,47,49,
2012-07-08,5,17,23,26,35,38,
2012-07-15,1,32,37,41,44,45,
2012-07-22,21,24,36,37,47,48,
2012-07-29,2,7,9,22,29,32,
2012-08-05,7,8,20,22,28,49,
2012-08-12,16,18,20,23,25,46,
2012-08-19,8,25,28,31,33,37,
2012-08-26,14,23,30,35,39,40,
2012-09-02,3,14,19,21,26,28,
2012-09-09,4,13,18,30,32,37,
2012-09-16,12,19,22,23,28,29,
2012-09-23,7,13,14,17,21,38,
2012-09-30,6,9,14,17,34,37,
2012-10-07,4,16,19,28,36,46,
2012-10-14,7,12,16,24,36,43,
2012-10-21,2,9,24,25,28,42,
2012-10-28,11,13,31,37,44,47,
2012-11-04,17,21,26,27,32,37,
2012-11-11,29,32,34,35,36,44,
2012-11-18,20,22,24,28,39,48,
2012-11-25,2,7,12,25,28,32,
2012-12-02,10,23,32,37,39,45,
2012-12-09,11,29,31,38,40,47,
2012-12-16,3,4,6,10,17,38,
2012-12-23,8,14,23,37,39,46,
2012-12-30,16,29,32,42,48,49,
2013-01-06,10,18,23,24,27,49,
2013-01-13,2,10,16,27,33,47,
2013-01-20,6,38,39,42,44,49,
2013-01-27,18,25,33,39,40,43,
2013-02-03,1,8,13,34,45,46,
2013-02-10,1,3,8,14,25,38,
2013-02-17,2,12,17,19,26,45,
2013-02-24,1,7,11,14,35,41,
2013-03-03,8,11,21,31,43,48,
2013-03-10,9,17,29,32,40,46,
2013-03-17,8,11,12,14,27,28,
2013-03-24,4,5,16,20,33,36,
2013-03-31,2,4,6,7,16,46,
2013-04-07,5,7,21,35,43,46,
2013-04-14,12,13,30,31,35,46,
2013-04-21,10,15,20,25,38,47,
2013-04-28,10,12,16,24,36,43,
2013-05-05,6,12,22,34,38,48,
2013-05-12,3,5,9,11,29,45,
2013-05-19,1,4,21,24,39,48,
2013-05-26,4,17,34,40,42,49,
2013-06-02,6,9,16,26,34,36,
2013-06-09,8,24,37,41,44,45,
2013-06-16,9,17,21,32,35,44,
2013-06-23,5,17,19,32,39,47,
2013-06-30,8,14,16,25,33,36,
2013-07-07,2,8,11,34,36,48,
2013-07-14,6,7,18,22,47,49,
2013-07-21,2,9,11,22,29,39,
2013-07-28,9,11,19,41,42,45,
2013-08-04,4,7,10,32,45,46,
2013-08-11,3,13,21,40,43,49,
2013-08-18,3,17,22,23,25,43,
2013-08-25,25,28,29,30,34,49,
2013-09-01,7,11,16,25,26,44,
2013-09-08,6,13,24,26,34,47,
2013-09-15,15,19,33,36,39,44,
2013-09-22,4,17,28,30,46,49,
2013-09-29,7,12,31,35,44,48,
2013-10-06,25,29,31,36,47,49,
